visitID,date,timeC,timeR,net,bander,enc,spp,bandNumber,colorComboL,colorComboR,age,sex,cpBp,fat,mass,wing,tail,tarsus,molt?,howSexed,howAged,bSample,notes
NZP_2016-12-03,2016-12-03,NA,NA,NA,JLM,B,WBNU,2741-54668,P,X,AHY,U,NA,0,20.9,91,47,NA,NA,NA,NA,NA,"band combo was backwards, changed -rz"
NZP_2016-12-03,2016-12-03,NA,NA,NA,JLM,B,TUTI,2741-54669,P,X,AHY,U,NA,0,16,94,85,NA,NA,NA,NA,NA,"band combo was backwards, changed -rz"
NZP_2016-12-03,2016-12-03,NA,NA,NA,JLM,B,CACH,2750-64370,XP,PP,AHY,U,NA,0,9.8,61,41,NA,NA,NA,NA,tail_U,Tail feather taken
NZP_2016-12-03,2016-12-03,NA,NA,NA,JLM,B,DEJU,2750-64369,X,P,AHY,U,NA,0,15.8,72,62,NA,NA,NA,NA,tail_U,Tail feather taken
NZP_2016-12-05,2016-12-05,NA,NA,NA,JLM,B,DEJU,2750-64372,X,O,AHY,U,NA,0,NA,73,62,NA,NA,NA,NA,NA,scale broken
NZP_2016-12-05,2016-12-05,NA,NA,NA,JLM,B,DEJU,2750-64373,X,Y,AHY,U,NA,0,NA,76,61,NA,NA,NA,NA,tail_U,scale broken
NZP_2017-01-11,2017-01-11,11:45,NA,NA,AEH,B,NOCA,2651-51878,R,XG,AHY,M,NA,1,NA,94,95,NA,NA,NA,NA,NA,mass provided as 52.3
NZP_2017-01-11,2017-01-11,11:45,NA,NA,AEH,B,NOCA,2651-51879,X,-,AHY,F,NA,NA,47.9,NA,NA,NA,NA,NA,NA,NA,signs of stress
NZP_2017-01-11,2017-01-11,11:45,NA,NA,AEH,B,NOCA,2651-51880,XG,Y,AHY,M,NA,2,48.6,90,89,NA,NA,NA,NA,NA,wing pic
NZP_2017-01-11,2017-01-11,11:45,NA,NA,AEH,B,NOCA,2651-51881,G,GX,AHY,F,NA,1,NA,92,106,NA,NA,NA,NA,NA,"wing pic, mass provided as 50.5"
NZP_2017-01-11,2017-01-11,11:45,NA,NA,AEH,R,WBNU,2741-54668,P,X,AHY,U,NA,0,21.9,91,46,NA,NA,NA,NA,NA,wing pic
NZP_2017-01-11,2017-01-11,11:45,NA,NA,DLA,B,TUTI,2741-54670,X,KO,AHY,U,NA,1,22.4,78,63,NA,NA,NA,NA,tail_NZP-DC-738,NA
NZP_2017-01-11,2017-01-11,11:45,NA,NA,DLA,B,TUTI,2741-54671,PY,X,AHY,U,NA,1,23.3,85,80,NA,NA,NA,NA,NA,NA
